,Survived,Sex,Age,SibSp,Parch,Fare,Pclass_1.0,Pclass_2.0,Pclass_3.0,Embarked_C,Embarked_Q,Embarked_S
331,0,male,45.5,0.0,0.0,28.5,1.0,0.0,0.0,0.0,0.0,1.0
733,0,male,23.0,0.0,0.0,13.0,0.0,1.0,0.0,0.0,0.0,1.0
382,0,male,32.0,0.0,0.0,7.925,0.0,0.0,1.0,0.0,0.0,1.0
704,0,male,26.0,1.0,0.0,7.8542,0.0,0.0,1.0,0.0,0.0,1.0
813,0,female,6.0,4.0,2.0,31.275,0.0,0.0,1.0,0.0,0.0,1.0
118,0,male,24.0,0.0,1.0,247.5208,1.0,0.0,0.0,1.0,0.0,0.0
536,0,male,45.0,0.0,0.0,26.55,1.0,0.0,0.0,0.0,0.0,1.0
361,0,male,29.0,1.0,0.0,27.7208,0.0,1.0,0.0,1.0,0.0,0.0
29,0,male,31.8,0.0,0.0,7.8958,0.0,0.0,1.0,0.0,0.0,1.0
55,1,male,45.6,0.0,0.0,35.5,1.0,0.0,0.0,0.0,0.0,1.0
865,1,female,42.0,0.0,0.0,13.0,0.0,1.0,0.0,0.0,0.0,1.0
595,0,male,36.0,1.0,1.0,24.15,0.0,0.0,1.0,0.0,0.0,1.0
239,0,male,33.0,0.0,0.0,12.275,0.0,1.0,0.0,0.0,0.0,1.0
721,0,male,17.0,1.0,0.0,7.0542,0.0,0.0,1.0,0.0,0.0,1.0
81,1,male,29.0,0.0,0.0,9.5,0.0,0.0,1.0,0.0,0.0,1.0
259,1,female,50.0,0.0,1.0,26.0,0.0,1.0,0.0,0.0,0.0,1.0
486,1,female,35.0,1.0,0.0,90.0,1.0,0.0,0.0,0.0,0.0,1.0
716,1,female,38.0,0.0,0.0,227.525,1.0,0.0,0.0,1.0,0.0,0.0
800,0,male,34.0,0.0,0.0,13.0,0.0,1.0,0.0,0.0,0.0,1.0
781,1,female,17.0,1.0,0.0,57.0,1.0,0.0,0.0,0.0,0.0,1.0
542,0,female,11.0,4.0,2.0,31.275,0.0,0.0,1.0,0.0,0.0,1.0
326,0,male,61.0,0.0,0.0,6.2375,0.0,0.0,1.0,0.0,0.0,1.0
534,0,female,30.0,0.0,0.0,8.6625,0.0,0.0,1.0,0.0,0.0,1.0
535,1,female,7.0,0.0,2.0,26.25,0.0,1.0,0.0,0.0,0.0,1.0
483,1,female,63.0,0.0,0.0,9.5875,0.0,0.0,1.0,0.0,0.0,1.0
762,1,male,20.0,0.0,0.0,7.2292,0.0,0.0,1.0,1.0,0.0,0.0
533,1,female,14.0,0.0,2.0,22.3583,0.0,0.0,1.0,1.0,0.0,0.0
713,0,male,29.0,0.0,0.0,9.4833,0.0,0.0,1.0,0.0,0.0,1.0
390,1,male,36.0,1.0,2.0,120.0,1.0,0.0,0.0,0.0,0.0,1.0
495,0,male,18.9,0.0,0.0,14.4583,0.0,0.0,1.0,1.0,0.0,0.0
482,0,male,50.0,0.0,0.0,8.05,0.0,0.0,1.0,0.0,0.0,1.0
377,0,male,27.0,0.0,2.0,211.5,1.0,0.0,0.0,1.0,0.0,0.0
365,0,male,30.0,0.0,0.0,7.25,0.0,0.0,1.0,0.0,0.0,1.0
412,1,female,33.0,1.0,0.0,90.0,1.0,0.0,0.0,0.0,1.0,0.0
468,0,male,30.9,0.0,0.0,7.725,0.0,0.0,1.0,0.0,1.0,0.0
409,0,female,11.0,3.0,1.0,25.4667,0.0,0.0,1.0,0.0,0.0,1.0
7,0,male,2.0,3.0,1.0,21.075,0.0,0.0,1.0,0.0,0.0,1.0
580,1,female,25.0,1.0,1.0,30.0,0.0,1.0,0.0,0.0,0.0,1.0
155,0,male,51.0,0.0,1.0,61.3792,1.0,0.0,0.0,1.0,0.0,0.0
880,1,female,25.0,0.0,1.0,26.0,0.0,1.0,0.0,0.0,0.0,1.0
425,0,male,26.8,0.0,0.0,7.25,0.0,0.0,1.0,0.0,0.0,1.0
101,0,male,31.8,0.0,0.0,7.8958,0.0,0.0,1.0,0.0,0.0,1.0
199,0,female,24.0,0.0,0.0,13.0,0.0,1.0,0.0,0.0,0.0,1.0
424,0,male,18.0,1.0,1.0,20.2125,0.0,0.0,1.0,0.0,0.0,1.0
298,1,male,37.0,0.0,0.0,30.5,1.0,0.0,0.0,0.0,0.0,1.0
884,0,male,25.0,0.0,0.0,7.05,0.0,0.0,1.0,0.0,0.0,1.0
247,1,female,24.0,0.0,2.0,14.5,0.0,1.0,0.0,0.0,0.0,1.0
478,0,male,22.0,0.0,0.0,7.5208,0.0,0.0,1.0,0.0,0.0,1.0
305,1,male,0.92,1.0,2.0,151.55,1.0,0.0,0.0,0.0,0.0,1.0
316,1,female,24.0,1.0,0.0,26.0,0.0,1.0,0.0,0.0,0.0,1.0
2,1,female,26.0,0.0,0.0,7.925,0.0,0.0,1.0,0.0,0.0,1.0
405,0,male,34.0,1.0,0.0,21.0,0.0,1.0,0.0,0.0,0.0,1.0
742,1,female,21.0,2.0,2.0,262.375,1.0,0.0,0.0,1.0,0.0,0.0
260,0,male,28.8,0.0,0.0,7.75,0.0,0.0,1.0,0.0,1.0,0.0
367,1,female,22.7,0.0,0.0,7.2292,0.0,0.0,1.0,1.0,0.0,0.0
158,0,male,23.6,0.0,0.0,8.6625,0.0,0.0,1.0,0.0,0.0,1.0
554,1,female,22.0,0.0,0.0,7.775,0.0,0.0,1.0,0.0,0.0,1.0
829,1,female,62.0,0.0,0.0,80.0,1.0,0.0,0.0,0.0,0.0,1.0
677,1,female,18.0,0.0,0.0,9.8417,0.0,0.0,1.0,0.0,0.0,1.0
380,1,female,42.0,0.0,0.0,227.525,1.0,0.0,0.0,1.0,0.0,0.0
626,0,male,57.0,0.0,0.0,12.35,0.0,1.0,0.0,0.0,1.0,0.0
302,0,male,19.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0
432,1,female,42.0,1.0,0.0,26.0,0.0,1.0,0.0,0.0,0.0,1.0
522,0,male,29.5,0.0,0.0,7.225,0.0,0.0,1.0,1.0,0.0,0.0
404,0,female,20.0,0.0,0.0,8.6625,0.0,0.0,1.0,0.0,0.0,1.0
843,0,male,34.5,0.0,0.0,6.4375,0.0,0.0,1.0,1.0,0.0,0.0
355,0,male,28.0,0.0,0.0,9.5,0.0,0.0,1.0,0.0,0.0,1.0
464,0,male,37.0,0.0,0.0,8.05,0.0,0.0,1.0,0.0,0.0,1.0
753,0,male,23.0,0.0,0.0,7.8958,0.0,0.0,1.0,0.0,0.0,1.0
212,0,male,22.0,0.0,0.0,7.25,0.0,0.0,1.0,0.0,0.0,1.0
449,1,male,52.0,0.0,0.0,30.5,1.0,0.0,0.0,0.0,0.0,1.0
79,1,female,30.0,0.0,0.0,12.475,0.0,0.0,1.0,0.0,0.0,1.0
148,0,male,36.5,0.0,2.0,26.0,0.0,1.0,0.0,0.0,0.0,1.0
428,0,male,28.8,0.0,0.0,7.75,0.0,0.0,1.0,0.0,1.0,0.0
60,0,male,22.0,0.0,0.0,7.2292,0.0,0.0,1.0,1.0,0.0,0.0
660,1,male,50.0,2.0,0.0,133.65,1.0,0.0,0.0,0.0,0.0,1.0
804,1,male,27.0,0.0,0.0,6.975,0.0,0.0,1.0,0.0,0.0,1.0
588,0,male,22.0,0.0,0.0,8.05,0.0,0.0,1.0,0.0,0.0,1.0
765,1,female,51.0,1.0,0.0,77.9583,1.0,0.0,0.0,0.0,0.0,1.0
265,0,male,36.0,0.0,0.0,10.5,0.0,1.0,0.0,0.0,0.0,1.0
133,1,female,29.0,1.0,0.0,26.0,0.0,1.0,0.0,0.0,0.0,1.0
708,1,female,22.0,0.0,0.0,151.55,1.0,0.0,0.0,0.0,0.0,1.0
544,0,male,50.0,1.0,0.0,106.425,1.0,0.0,0.0,1.0,0.0,0.0
346,1,female,40.0,0.0,0.0,13.0,0.0,1.0,0.0,0.0,0.0,1.0
821,1,male,27.0,0.0,0.0,8.6625,0.0,0.0,1.0,0.0,0.0,1.0
633,0,male,36.6,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
456,0,male,65.0,0.0,0.0,26.55,1.0,0.0,0.0,0.0,0.0,1.0
500,0,male,17.0,0.0,0.0,8.6625,0.0,0.0,1.0,0.0,0.0,1.0
430,1,male,28.0,0.0,0.0,26.55,1.0,0.0,0.0,0.0,0.0,1.0
445,1,male,4.0,0.0,2.0,81.8583,1.0,0.0,0.0,0.0,0.0,1.0
650,0,male,31.8,0.0,0.0,7.8958,0.0,0.0,1.0,0.0,0.0,1.0
172,1,female,1.0,1.0,1.0,11.1333,0.0,0.0,1.0,0.0,0.0,1.0
450,0,male,36.0,1.0,2.0,27.75,0.0,1.0,0.0,0.0,0.0,1.0
314,0,male,43.0,1.0,1.0,26.25,0.0,1.0,0.0,0.0,0.0,1.0
332,0,male,38.0,0.0,1.0,153.4625,1.0,0.0,0.0,0.0,0.0,1.0
801,1,female,31.0,1.0,1.0,26.25,0.0,1.0,0.0,0.0,0.0,1.0
90,0,male,29.0,0.0,0.0,8.05,0.0,0.0,1.0,0.0,0.0,1.0
834,0,male,18.0,0.0,0.0,8.3,0.0,0.0,1.0,0.0,0.0,1.0
181,0,male,43.8,0.0,0.0,15.05,0.0,1.0,0.0,1.0,0.0,0.0
581,1,female,39.0,1.0,1.0,110.8833,1.0,0.0,0.0,1.0,0.0,0.0
795,0,male,39.0,0.0,0.0,13.0,0.0,1.0,0.0,0.0,0.0,1.0
69,0,male,26.0,2.0,0.0,8.6625,0.0,0.0,1.0,0.0,0.0,1.0
131,0,male,20.0,0.0,0.0,7.05,0.0,0.0,1.0,0.0,0.0,1.0
334,1,female,36.8,1.0,0.0,133.65,1.0,0.0,0.0,0.0,0.0,1.0
597,0,male,49.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0
135,0,male,23.0,0.0,0.0,15.0458,0.0,1.0,0.0,1.0,0.0,0.0
164,0,male,1.0,4.0,1.0,39.6875,0.0,0.0,1.0,0.0,0.0,1.0
28,1,female,33.6,0.0,0.0,7.8792,0.0,0.0,1.0,0.0,1.0,0.0
783,0,male,26.8,1.0,2.0,23.45,0.0,0.0,1.0,0.0,0.0,1.0
193,1,male,3.0,1.0,1.0,26.0,0.0,1.0,0.0,0.0,0.0,1.0
869,1,male,4.0,1.0,1.0,11.1333,0.0,0.0,1.0,0.0,0.0,1.0
715,0,male,19.0,0.0,0.0,7.65,0.0,0.0,1.0,0.0,0.0,1.0
525,0,male,40.5,0.0,0.0,7.75,0.0,0.0,1.0,0.0,1.0,0.0
381,1,female,1.0,0.0,2.0,15.7417,0.0,0.0,1.0,1.0,0.0,0.0
140,0,female,22.5,0.0,2.0,15.2458,0.0,0.0,1.0,1.0,0.0,0.0
173,0,male,21.0,0.0,0.0,7.925,0.0,0.0,1.0,0.0,0.0,1.0
6,0,male,54.0,0.0,0.0,51.8625,1.0,0.0,0.0,0.0,0.0,1.0
718,0,male,25.1,0.0,0.0,15.5,0.0,0.0,1.0,0.0,1.0,0.0
685,0,male,25.0,1.0,2.0,41.5792,0.0,1.0,0.0,1.0,0.0,0.0
73,0,male,26.0,1.0,0.0,14.4542,0.0,0.0,1.0,1.0,0.0,0.0
882,0,female,22.0,0.0,0.0,10.5167,0.0,0.0,1.0,0.0,0.0,1.0
328,1,female,31.0,1.0,1.0,20.525,0.0,0.0,1.0,0.0,0.0,1.0
453,1,male,49.0,1.0,0.0,89.1042,1.0,0.0,0.0,1.0,0.0,0.0
145,0,male,19.0,1.0,1.0,36.75,0.0,1.0,0.0,0.0,0.0,1.0
234,0,male,24.0,0.0,0.0,10.5,0.0,1.0,0.0,0.0,0.0,1.0
220,1,male,16.0,0.0,0.0,8.05,0.0,0.0,1.0,0.0,0.0,1.0
370,1,male,25.0,1.0,0.0,55.4417,1.0,0.0,0.0,1.0,0.0,0.0
811,0,male,39.0,0.0,0.0,24.15,0.0,0.0,1.0,0.0,0.0,1.0
132,0,female,47.0,1.0,0.0,14.5,0.0,0.0,1.0,0.0,0.0,1.0
694,0,male,60.0,0.0,0.0,26.55,1.0,0.0,0.0,0.0,0.0,1.0
864,0,male,24.0,0.0,0.0,13.0,0.0,1.0,0.0,0.0,0.0,1.0
185,0,male,35.0,0.0,0.0,50.0,1.0,0.0,0.0,0.0,0.0,1.0
41,0,female,27.0,1.0,0.0,21.0,0.0,1.0,0.0,0.0,0.0,1.0
547,1,male,46.6,0.0,0.0,13.8625,0.0,1.0,0.0,1.0,0.0,0.0
108,0,male,38.0,0.0,0.0,7.8958,0.0,0.0,1.0,0.0,0.0,1.0
603,0,male,44.0,0.0,0.0,8.05,0.0,0.0,1.0,0.0,0.0,1.0
56,1,female,21.0,0.0,0.0,10.5,0.0,1.0,0.0,0.0,0.0,1.0
394,1,female,24.0,0.0,2.0,16.7,0.0,0.0,1.0,0.0,0.0,1.0
706,1,female,45.0,0.0,0.0,13.5,0.0,1.0,0.0,0.0,0.0,1.0
549,1,male,8.0,1.0,1.0,36.75,0.0,1.0,0.0,0.0,0.0,1.0
24,0,female,8.0,3.0,1.0,21.075,0.0,0.0,1.0,0.0,0.0,1.0
351,0,male,47.4,0.0,0.0,35.0,1.0,0.0,0.0,0.0,0.0,1.0
429,1,male,32.0,0.0,0.0,8.05,0.0,0.0,1.0,0.0,0.0,1.0
434,0,male,50.0,1.0,0.0,55.9,1.0,0.0,0.0,0.0,0.0,1.0
51,0,male,21.0,0.0,0.0,7.8,0.0,0.0,1.0,0.0,0.0,1.0
526,1,female,50.0,0.0,0.0,10.5,0.0,1.0,0.0,0.0,0.0,1.0
816,0,female,23.0,0.0,0.0,7.925,0.0,0.0,1.0,0.0,0.0,1.0
569,1,male,32.0,0.0,0.0,7.8542,0.0,0.0,1.0,0.0,0.0,1.0
264,0,female,28.8,0.0,0.0,7.75,0.0,0.0,1.0,0.0,1.0,0.0
436,0,female,21.0,2.0,2.0,34.375,0.0,0.0,1.0,0.0,0.0,1.0
613,0,male,28.8,0.0,0.0,7.75,0.0,0.0,1.0,0.0,1.0,0.0
693,0,male,25.0,0.0,0.0,7.225,0.0,0.0,1.0,1.0,0.0,0.0
352,0,male,15.0,1.0,1.0,7.2292,0.0,0.0,1.0,1.0,0.0,0.0
18,0,female,31.0,1.0,0.0,18.0,0.0,0.0,1.0,0.0,0.0,1.0
666,0,male,25.0,0.0,0.0,13.0,0.0,1.0,0.0,0.0,0.0,1.0
582,0,male,54.0,0.0,0.0,26.0,0.0,1.0,0.0,0.0,0.0,1.0
83,0,male,28.0,0.0,0.0,47.1,1.0,0.0,0.0,0.0,0.0,1.0
61,1,female,38.0,0.0,0.0,80.0,1.0,0.0,0.0,0.0,0.0,1.0
272,1,female,41.0,0.0,1.0,19.5,0.0,1.0,0.0,0.0,0.0,1.0
285,0,male,33.0,0.0,0.0,8.6625,0.0,0.0,1.0,1.0,0.0,0.0
695,0,male,52.0,0.0,0.0,13.5,0.0,1.0,0.0,0.0,0.0,1.0
746,0,male,16.0,1.0,1.0,20.25,0.0,0.0,1.0,0.0,0.0,1.0
12,0,male,20.0,0.0,0.0,8.05,0.0,0.0,1.0,0.0,0.0,1.0
182,0,male,9.0,4.0,2.0,31.3875,0.0,0.0,1.0,0.0,0.0,1.0
444,1,male,28.4,0.0,0.0,8.1125,0.0,0.0,1.0,0.0,0.0,1.0
552,0,male,25.6,0.0,0.0,7.8292,0.0,0.0,1.0,0.0,1.0,0.0
223,0,male,31.8,0.0,0.0,7.8958,0.0,0.0,1.0,0.0,0.0,1.0
513,1,female,54.0,1.0,0.0,59.4,1.0,0.0,0.0,1.0,0.0,0.0
628,0,male,26.0,0.0,0.0,7.8958,0.0,0.0,1.0,0.0,0.0,1.0
587,1,male,60.0,1.0,1.0,79.2,1.0,0.0,0.0,1.0,0.0,0.0
692,1,male,27.0,0.0,0.0,56.4958,0.0,0.0,1.0,0.0,0.0,1.0
523,1,female,44.0,0.0,1.0,57.9792,1.0,0.0,0.0,1.0,0.0,0.0
664,1,male,20.0,1.0,0.0,7.925,0.0,0.0,1.0,0.0,0.0,1.0
176,0,male,11.0,3.0,1.0,25.4667,0.0,0.0,1.0,0.0,0.0,1.0
841,0,male,16.0,0.0,0.0,10.5,0.0,1.0,0.0,0.0,0.0,1.0
678,0,female,43.0,1.0,6.0,46.9,0.0,0.0,1.0,0.0,0.0,1.0
163,0,male,17.0,0.0,0.0,8.6625,0.0,0.0,1.0,0.0,0.0,1.0
248,1,male,37.0,1.0,1.0,52.5542,1.0,0.0,0.0,0.0,0.0,1.0
570,1,male,62.0,0.0,0.0,10.5,0.0,1.0,0.0,0.0,0.0,1.0
787,0,male,8.0,4.0,1.0,29.125,0.0,0.0,1.0,0.0,1.0,0.0
74,1,male,32.0,0.0,0.0,56.4958,0.0,0.0,1.0,0.0,0.0,1.0
113,0,female,20.0,1.0,0.0,9.825,0.0,0.0,1.0,0.0,0.0,1.0
635,1,female,28.0,0.0,0.0,13.0,0.0,1.0,0.0,0.0,0.0,1.0
501,0,female,21.0,0.0,0.0,7.75,0.0,0.0,1.0,0.0,1.0,0.0
104,0,male,37.0,2.0,0.0,7.925,0.0,0.0,1.0,0.0,0.0,1.0
114,0,female,17.0,0.0,0.0,14.4583,0.0,0.0,1.0,1.0,0.0,0.0
368,1,female,28.8,0.0,0.0,7.75,0.0,0.0,1.0,0.0,1.0,0.0
92,0,male,46.0,1.0,0.0,61.175,1.0,0.0,0.0,0.0,0.0,1.0
497,0,male,21.7,0.0,0.0,15.1,0.0,0.0,1.0,0.0,0.0,1.0
89,0,male,24.0,0.0,0.0,8.05,0.0,0.0,1.0,0.0,0.0,1.0
336,0,male,29.0,1.0,0.0,66.6,1.0,0.0,0.0,0.0,0.0,1.0
879,1,female,56.0,0.0,1.0,83.1583,1.0,0.0,0.0,1.0,0.0,0.0
817,0,male,31.0,1.0,1.0,37.0042,0.0,1.0,0.0,1.0,0.0,0.0
828,1,male,28.8,0.0,0.0,7.75,0.0,0.0,1.0,0.0,1.0,0.0
543,1,male,32.0,1.0,0.0,26.0,0.0,1.0,0.0,0.0,0.0,1.0
548,0,male,33.0,1.0,1.0,20.525,0.0,0.0,1.0,0.0,0.0,1.0
94,0,male,59.0,0.0,0.0,7.25,0.0,0.0,1.0,0.0,0.0,1.0
11,1,female,58.0,0.0,0.0,26.55,1.0,0.0,0.0,0.0,0.0,1.0
431,1,female,27.2,1.0,0.0,16.1,0.0,0.0,1.0,0.0,0.0,1.0
43,1,female,3.0,1.0,2.0,41.5792,0.0,1.0,0.0,1.0,0.0,0.0
42,0,male,31.8,0.0,0.0,7.8958,0.0,0.0,1.0,1.0,0.0,0.0
329,1,female,16.0,0.0,1.0,57.9792,1.0,0.0,0.0,1.0,0.0,0.0
167,0,female,45.0,1.0,4.0,27.9,0.0,0.0,1.0,0.0,0.0,1.0
779,1,female,43.0,0.0,1.0,211.3375,1.0,0.0,0.0,0.0,0.0,1.0
537,1,female,30.0,0.0,0.0,106.425,1.0,0.0,0.0,1.0,0.0,0.0
735,0,male,28.5,0.0,0.0,16.1,0.0,0.0,1.0,0.0,0.0,1.0
499,0,male,24.0,0.0,0.0,7.7958,0.0,0.0,1.0,0.0,0.0,1.0
178,0,male,30.0,0.0,0.0,13.0,0.0,1.0,0.0,0.0,0.0,1.0
583,0,male,36.0,0.0,0.0,40.125,1.0,0.0,0.0,1.0,0.0,0.0
784,0,male,25.0,0.0,0.0,7.05,0.0,0.0,1.0,0.0,0.0,1.0
593,0,female,18.684,0.0,2.0,7.75,0.0,0.0,1.0,0.0,1.0,0.0
177,0,female,50.0,0.0,0.0,28.7125,1.0,0.0,0.0,1.0,0.0,0.0
644,1,female,0.75,2.0,1.0,19.2583,0.0,0.0,1.0,1.0,0.0,0.0
710,1,female,24.0,0.0,0.0,49.5042,1.0,0.0,0.0,1.0,0.0,0.0
615,1,female,24.0,1.0,2.0,65.0,0.0,1.0,0.0,0.0,0.0,1.0
383,1,female,35.0,1.0,0.0,52.0,1.0,0.0,0.0,0.0,0.0,1.0
257,1,female,30.0,0.0,0.0,86.5,1.0,0.0,0.0,0.0,0.0,1.0
734,0,male,23.0,0.0,0.0,13.0,0.0,1.0,0.0,0.0,0.0,1.0
335,0,male,31.8,0.0,0.0,7.8958,0.0,0.0,1.0,0.0,0.0,1.0
551,0,male,27.0,0.0,0.0,26.0,0.0,1.0,0.0,0.0,0.0,1.0
15,1,female,55.0,0.0,0.0,16.0,0.0,1.0,0.0,0.0,0.0,1.0
3,1,female,35.0,1.0,0.0,53.1,1.0,0.0,0.0,0.0,0.0,1.0
411,0,male,25.8,0.0,0.0,6.8583,0.0,0.0,1.0,0.0,1.0,0.0
256,1,female,40.6,0.0,0.0,79.2,1.0,0.0,0.0,1.0,0.0,0.0
451,0,male,26.6,1.0,0.0,19.9667,0.0,0.0,1.0,0.0,0.0,1.0
473,1,female,23.0,0.0,0.0,13.7917,0.0,1.0,0.0,1.0,0.0,0.0
697,1,female,27.8,0.0,0.0,7.7333,0.0,0.0,1.0,0.0,1.0,0.0
393,1,female,23.0,1.0,0.0,113.275,1.0,0.0,0.0,1.0,0.0,0.0
222,0,male,51.0,0.0,0.0,8.05,0.0,0.0,1.0,0.0,0.0,1.0
506,1,female,33.0,0.0,2.0,26.0,0.0,1.0,0.0,0.0,0.0,1.0
567,0,female,29.0,0.0,4.0,21.075,0.0,0.0,1.0,0.0,0.0,1.0
420,0,male,31.8,0.0,0.0,7.8958,0.0,0.0,1.0,1.0,0.0,0.0
324,0,male,37.2,8.0,2.0,69.55,0.0,0.0,1.0,0.0,0.0,1.0
530,1,female,2.0,1.0,1.0,26.0,0.0,1.0,0.0,0.0,0.0,1.0
9,1,female,14.0,1.0,0.0,30.0708,0.0,1.0,0.0,1.0,0.0,0.0
